Movie Title,Actor 1,Actor 2,Actor 3,Year
Thor: Ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,2017
Black Widow,Scarlett Johansson,Florence Pugh,Rachel Weisz,2022
Doctor Strange,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,2016
Ant-Man,Paul Rudd,Evangeline Lilly,Michael Douglas,2015
Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Michael Douglas,2018
Aquaman,Jason Momoa,Amber Heard,Willem Dafoe,2018
Wonder Woman,Gal Gadot,Chris Pine,Connie Nielsen,2017
Justice League,Ben Affleck,Henry Cavill,Amy Adams,2017
Suicide Squad,Will Smith,Margot Robbie,Jared Leto,2016
The Batman,Robert Pattinson,Zoë Kravitz,Paul Dano,2022
The Joker,Joaquin Phoenix,Robert De Niro,Zazie Beetz,2019
The Dark Knight Rises,Christian Bale,Anne Hathaway,Tom Hardy,2012
Interstellar,Matthew McConaughey,Anne Hathaway,Michael Caine,2014
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,2010
Dunkirk,Fionn Whitehead,Tom Hardy,Mark Rylance,2017
The Prestige,Christian Bale,Hugh Jackman,Scarlett Johansson,2006
Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,2000
Braveheart,Mel Gibson,Sophie Marceau,Brian Cox,1995
Saving Private Ryan,Tom Hanks,Matt Damon,Tom Sizemore,1998
Schindler's List,Liam Neeson,Ralph Fiennes,Ben Kingsley,1993
The Departed,Leonardo DiCaprio,Matt Damon,Jack Nicholson,2006
The Wolf of Wall Street,Leonardo DiCaprio,Jonah Hill,Margot Robbie,2013
Goodfellas,Robert De Niro,Ray Liotta,Joe Pesci,1990
The Sopranos,James Gandolfini,Lorraine Bracco,Edie Falco,1999
Breaking Bad,Bryan Cranston,Aaron Paul,Anna Gunn,2008
Mad Men,Jon Hamm,Elisabeth Moss,Vincent Kartheiser,2007
The Walking Dead,Andrew Lincoln,Norman Reedus,Melissa McBride,2010
Game of Thrones,Emilia Clarke,Kit Harington,Lena Headey,2011
The Sopranos,James Gandolfini,Lorraine Bracco,Edie Falco,1999
Breaking Bad,Bryan Cranston,Aaron Paul,Anna Gunn,2008
Mad Men,Jon Hamm,Elisabeth Moss,Vincent Kartheiser,2007
The Walking Dead,Andrew Lincoln,Norman Reedus,Melissa McBride,2010
Game of Thrones,Emilia Clarke,Kit Harington,Lena Headey,2011
Stranger Things,Winona Ryder,David Harbour,Finn Wolfhard,2016
The Handmaid's Tale,Elizabeth Moss,Joseph Fiennes,Ann Dowd,2017
The Crown,Claire Foy,Matt Smith,Vanessa Kirby,2016
Peaky Blinders,Cillian Murphy,Helen McCrory,Paul Anderson,2013
Narcos,Wagner Moura,Boyd Holbrook,Pedro Pascal,2015
The Office,Steve Carell,Rainn Wilson,John Krasinski,2005
Parks and Recreation,Amy Poehler,Nick Offerman,Chris Pratt,2009
Brooklyn Nine-Nine,Andy Samberg,Stephanie Beatriz,Terry Crews,2013
The Good Place,Kristen Bell,William Jackson Harper,Jameela Jamil,2016
Master of None,Aziz Ansari,Eric Wareheim,Lena Waithe,2015
